?id,opportunity_name,type,active,probability,expected_revenue,recurring_revenue,priority,date_deadline,date_open,date_closed,date_conversion,create_date,write_date,stage_name,stage_sequence,partner_name,partner_email,partner_phone,partner_mobile,partner_street,partner_city,partner_zip,partner_country,lead_contact_name,email_from,phone,mobile,street,city,zip,lead_country,assigned_user_login,assigned_user_name,sales_team,tags,lost_reason,campaign,medium,source
1,"Oportunidad - Global Ventures / Moreno, Lorena",opportunity,f,0.00,37779.03,0.0,3,2026-06-10,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""New""}",1,,,,,,,,,Global Ventures,lorena.moreno@globalventur.mx,+57 1 1358-7537,+57 1 1175-5769,"Av. Revolución #469, Int. 19",Juárez,43628,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
2,"Oportunidad - Publicidad Creativa / Delgado, Paola",opportunity,t,100.00,208138.92,0.0,2,2026-07-19,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Won""}",70,,,,,,,,,Publicidad Creativa,paola.delgad@publicidadcr.com.mx,+52 33 4871-9986,+52 33 8127-8378,"Paseo de la Constitución #462, Int. 18",Nueva York,53303,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
3,"Oportunidad - Inmobiliaria Horizonte / Cruz, Luis",opportunity,t,22.00,167731.06,0.0,0,2026-03-13,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Won""}",70,,,,,,,,,Inmobiliaria Horizonte,luis.cruz@inmobiliaria.com,+52 81 7433-3512,+57 1 7212-1922,"Calle Álvaro Obregón #644, Int. 38",Puebla,55063,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
4,"Oportunidad - Publicidad Creativa / Silva, Arturo",opportunity,f,0.00,315657.11,0.0,1,2026-08-02,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Won""}",70,,,,,,,,,Publicidad Creativa,arturo.silva@publicidadcr.com.mx,+57 1 0163-2943,+57 1 5364-3868,"Blvd. del Valle #389, Int. 7",Zapopan,50696,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
5,"Oportunidad - Outsourcing Total / López, Antonio",opportunity,t,70.00,494437.13,0.0,2,2026-06-05,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""New""}",1,,,,,,,,,Outsourcing Total,antonio.lopez@outsourcingt.net,+1 305 6229-1657,+52 81 0312-2319,"Callejón Ángel García #487, Int. 43",Barcelona,31969,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
6,"Oportunidad - Agro Exportadora / García, Valentina",opportunity,t,68.00,173247.13,0.0,0,2026-06-25,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Qualified""}",2,,,,,,,,,Agro Exportadora,valentina.garcia@agroexportad.net,+34 91 1161-1734,+52 81 5420-4660,"Calle Principal #6, Int. 48",Tampico,28788,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
7,"Oportunidad - Consultora Estratégica / García, Andrés",opportunity,t,27.00,122299.34,0.0,3,2026-06-12,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Proposition""}",3,,,,,,,,,Consultora Estratégica,andres.garcia@consultoraes.com,+52 81 0660-8833,+52 33 6723-4628,"Calle Álvaro Obregón #969, Int. 46",Oaxaca,27136,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
8,"Oportunidad - Bienes Raíces Élite / Peña, Sergio",opportunity,t,40.00,264668.28,0.0,0,2026-04-25,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""New""}",1,,,,,,,,,Bienes Raíces Élite,sergio.pena@bienesraices.com,+52 33 7676-3222,+52 55 6054-4403,"Av. Lázaro Cárdenas #859, Int. 47",San Luis Potosí,25752,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
9,"Oportunidad - ProSoft México / Vargas, Pablo",opportunity,t,23.00,431656.58,0.0,3,2026-04-19,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Proposition""}",3,,,,,,,,,ProSoft México,pablo.vargas@prosoftmexic.com,+1 305 5931-2157,+52 81 8250-8972,"Av. Lázaro Cárdenas #672, Int. 1",Tampico,59903,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
10,"Oportunidad - NexGen Systems / Castillo, Rodrigo",opportunity,t,72.00,55246.25,0.0,2,2026-07-29,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""New""}",1,,,,,,,,,NexGen Systems,rodrigo.castil@nexgensystem.com,+57 1 7771-8848,+52 55 4302-5346,"Callejón Ángel García #98, Int. 6",Miami,83784,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
